NOTE,id,Moy_Pontage_de_fissures,Moy_Comblage_de_trou_ou_Projection_d_enrobe,Moy_Longitudinale,Moy_Transversale,Moy_Nid_de_poule,Moy_Faiencage,Moy_Arrachement_pelade,Moy_Remblaiement_de_tranchees
8.32,D10_PR23_600_PR23_800,0.0,0.0909091,0.0909091,0.0,0.0,0.0,0.0909091,0.363636
8.91457,D10_PR23_800_PR23_999,0.0,0.0,0.18348599999999998,0.09174310000000001,0.0,0.0,0.275229,0.174312
8.125,D10_PR24_0_PR24_200,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05
9.605,D10_PR24_200_PR24_400,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
8.76,D10_PR24_400_PR24_600,0.0,0.0,0.0,0.0,0.0,0.0,0.055555600000000004,0.166667
9.52,D10_PR24_600_PR24_800,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.1
8.5533,D10_PR24_800_PR24_997,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0
7.0,D10_PR25_0_PR25_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.81,D10_PR25_200_PR25_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
8.215,D10_PR25_400_PR25_600,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.3
6.35,D10_PR25_600_PR25_800,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0
7.194439999999999,D10_PR25_800_PR25_980,0.0,0.0,0.777778,0.0,0.0,0.0,0.11111099999999999,0.22222199999999998
9.82,D10_PR26_0_PR26_200,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR26_200_PR26_400,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0
10.0,D10_PR26_400_PR26_600,0.0,0.0,0.0588235,0.0,0.0,0.0,0.0,0.0588235
9.99,D10_PR26_600_PR26_800,0.0,0.0,0.35,0.0,0.0,0.0,0.05,0.2
9.899519999999999,D10_PR26_800_PR26_1009,0.0,0.0,0.239234,0.143541,0.0,0.0,0.0478469,0.191388
9.97,D10_PR27_0_PR27_200,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.166667
10.0,D10_PR27_200_PR27_400,0.0,0.0,0.2,0.2,0.0,0.0,0.1,0.2
10.0,D10_PR27_400_PR27_600,0.0,0.0,0.0909091,0.0909091,0.0,0.0,0.181818,0.0
10.0,D10_PR27_600_PR27_800,0.0,0.0,0.0,0.0,0.0,0.0,0.07692310000000001,0.0
10.0,D10_PR27_800_PR27_1000,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
9.985,D10_PR28_0_PR28_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.25,D10_PR28_200_PR28_400,0.0,0.0,0.15,0.0,0.0,0.05,0.05,0.1
10.0,D10_PR28_400_PR28_600,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0
9.575,D10_PR28_600_PR28_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0526316,0.0
8.79397,D10_PR28_800_PR28_999,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0
9.88439,D10_PR29_0_PR29_185,0.0,0.0,0.0625,0.0,0.0,0.0,0.125,0.0
6.0225,D10_PR80_0_PR80_200,0.2,0.0,0.3,0.1,0.0,0.0,0.1,0.1
9.615,D10_PR80_200_PR80_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
7.33,D10_PR80_400_PR80_600,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0
7.19,D10_PR80_600_PR80_800,0.8,0.0,0.1,0.1,0.0,0.0,0.2,0.0
6.690239999999999,D10_PR80_800_PR80_1005,0.5,0.0,0.1,0.1,0.0,0.0,0.2,0.0
5.61,D10_PR81_0_PR81_200,0.2,0.0,0.6,0.1,0.0,0.0,0.0,0.0
2.805,D10_PR81_200_PR81_400,0.0,0.0,1.0,0.8,0.0,0.2,0.0,0.0
2.385,D10_PR81_400_PR81_600,0.0,0.0,0.7,0.8,0.0,0.5,0.2,0.0
7.585,D10_PR81_600_PR81_800,0.0,0.0,0.7,0.1,0.0,0.0,0.1,0.1
6.12782,D10_PR81_800_PR81_934,0.0,0.0,0.666667,0.333333,0.0,0.166667,0.0,0.166667
9.61314,D10_PR82_0_PR82_279,0.0,0.0,0.0,0.134228,0.0,0.0,0.0,0.0
8.465,D10_PR83_0_PR83_200,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0
9.825,D10_PR83_200_PR83_400,0.0,0.0,0.4,0.1,0.0,0.0,0.2,0.0
10.0,D10_PR83_400_PR83_600,0.0,0.0,0.2,0.0,0.0,0.1,0.1,0.0
7.19,D10_PR83_600_PR83_800,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0
5.52,D10_PR83_800_PR83_1000,0.0,0.0,0.4,0.3,0.0,0.0,0.1,0.0
9.56863,D10_PR83_1000_PR83_1103,0.0,0.0,0.5,0.75,0.0,0.25,0.25,0.0
10.0,D10_PR84_0_PR84_200,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
9.8,D10_PR84_200_PR84_400,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0
10.0,D10_PR84_400_PR84_600,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0
10.0,D10_PR84_600_PR84_800,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
10.0,D10_PR84_800_PR84_994,0.0,0.0,0.0,0.0,0.0,0.0,0.6153850000000001,0.0
9.85034,D10_PR85_0_PR85_147,0.0,0.0,0.0,0.14285699999999998,0.0,0.0,0.428571,0.0
9.98,D10_PR86_0_PR86_200,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.1
10.0,D10_PR86_200_PR86_400,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
10.0,D10_PR86_400_PR86_600,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0
9.99,D10_PR86_600_PR86_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR86_800_PR86_996,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.0
10.0,D10_PR87_0_PR87_200,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0
10.0,D10_PR87_200_PR87_400,0.0,0.0,0.44444399999999995,0.0,0.0,0.0,0.0,0.0
9.675,D10_PR87_400_PR87_600,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
9.99,D10_PR87_600_PR87_800,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0
10.0,D10_PR87_800_PR87_990,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR88_0_PR88_200,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR88_200_PR88_400,0.0,0.0,0.11111099999999999,0.0,0.0,0.0,0.0,0.0
9.925,D10_PR88_400_PR88_600,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0
9.85,D10_PR88_600_PR88_800,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0
7.665,D10_PR88_800_PR88_1000,0.0,0.0,0.5,0.1,0.0,0.2,0.1,0.0
9.7,D10_PR89_0_PR89_200,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0
10.0,D10_PR89_200_PR89_400,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0
10.0,D10_PR89_400_PR89_600,0.0,0.0,0.11111099999999999,0.0,0.0,0.0,0.11111099999999999,0.0
9.9,D10_PR89_600_PR89_800,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0
8.13706,D10_PR89_800_PR89_997,0.0,0.0,0.3,0.1,0.0,0.0,0.3,0.0
10.0,D10_PR90_0_PR90_200,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0
10.0,D10_PR90_200_PR90_400,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
10.0,D10_PR90_400_PR90_600,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0
9.55,D10_PR90_600_PR90_800,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
9.99156,D10_PR90_800_PR90_1037,0.0,0.0,0.0,0.0,0.0,0.0,0.25640999999999997,0.0
9.82,D10_PR91_0_PR91_200,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0
9.325,D10_PR91_200_PR91_400,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0
8.325,D10_PR91_400_PR91_600,0.0,0.0,0.4,0.3,0.0,0.2,0.0,0.0
8.17,D10_PR91_600_PR91_800,0.0,0.0,0.22222199999999998,0.0,0.0,0.0,0.0,0.0
8.4381,D10_PR91_800_PR91_1010,0.0,0.0,0.454545,0.181818,0.0,0.0,0.0909091,0.0
5.295,D10_PR92_0_PR92_200,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.1
4.6,D10_PR92_200_PR92_400,0.0,0.0,1.0,0.3,0.0,0.1,0.0,0.0
4.095,D10_PR92_400_PR92_600,0.0,0.0,1.0,0.6,0.0,0.0,0.1,0.0
4.54,D10_PR92_600_PR92_800,0.0,0.0,0.9,0.2,0.0,0.0,0.0,0.0
5.0,D10_PR92_800_PR92_978,0.0,0.0,1.0,0.125,0.0,0.25,0.25,0.0
4.52,D10_PR93_0_PR93_200,0.0,0.0,0.8,0.4,0.0,0.2,0.0,0.1
4.65,D10_PR93_200_PR93_400,0.0,0.0,0.9,0.5,0.0,0.0,0.2,0.2
4.26,D10_PR93_400_PR93_600,0.0,0.0,0.9,0.9,0.0,0.2,0.0,0.1
3.915,D10_PR93_600_PR93_800,0.0,0.0,0.9,0.7,0.0,0.3,0.1,0.0
4.1009199999999995,D10_PR93_800_PR93_1018,0.0,0.0,1.0,0.909091,0.0,0.454545,0.0,0.0
4.02,D10_PR94_0_PR94_200,0.0,0.0,0.9,0.5,0.0,0.1,0.1,0.1
4.38,D10_PR94_200_PR94_400,0.0,0.0,1.0,0.8,0.0,0.3,0.0,0.1
3.8,D10_PR94_400_PR94_600,0.0,0.0,1.0,0.9,0.0,0.4,0.0,0.0
2.88,D10_PR94_600_PR94_800,0.0,0.0,0.4,0.2,0.0,0.1,0.5,0.0
8.26168,D10_PR94_800_PR94_907,0.0,0.0,0.2,0.6,0.0,0.2,0.0,0.0
9.95,D10_PR95_0_PR95_100,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR96_0_PR96_200,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
9.99,D10_PR96_200_PR96_400,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.0
9.42,D10_PR96_400_PR96_600,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0
9.72,D10_PR96_600_PR96_800,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0
9.58549,D10_PR96_800_PR96_993,0.0,0.0,0.09708739999999999,0.09708739999999999,0.0,0.0,0.320388,0.0
9.17,D10_PR97_0_PR97_200,0.0,0.0618056,0.0715278,0.034722199999999995,0.0,0.0118056,0.130556,0.0930556
10.0,D10_PR97_200_PR97_400,0.0,0.0,0.00625,0.03125,0.0,0.0,0.255556,0.0
