NOTE,id,Moy_Pontage,Moy_Comblage,Moy_Longitudinale,Moy_Transversale,Moy_Nid_de_poule,Moy_Faiencage,Moy_Arrachement_pelade,Moy_Remblaiement
9.56863,CCBHS - R DES LABOUREURS_TRONROUT0000000035316911_200_TRONROUT0000000035316911_302,0.0,0.0,0.0,0.0,0.0,0.0,0.08910889999999999,0.0
9.91579,CCBHS - R DES LABOUREURS_TRONROUT0000000057612585_0_TRONROUT0000000057612585_190,0.0,0.0,0.00526316,0.00526316,0.0,0.0,0.0894737,0.0
9.88095,CCBHS - R DU CHATEAU_TRONROUT0000000008438463_0_TRONROUT0000000008438463_64,0.0,0.0298507,0.014925399999999998,0.0746269,0.0,0.0,0.149254,0.104478
4.831519999999999,CCBHS - R DU CLOS_TRONROUT0000000008437289_0_TRONROUT0000000008437289_92,0.0,0.0212766,0.23404299999999997,0.0319149,0.0,0.0,0.276596,0.0106383
7.29167,CCBHS - R DU CLOS_TRONROUT0000000320072716_0_TRONROUT0000000320072716_50,0.0,0.0,0.08333330000000001,0.10416700000000001,0.0,0.0,0.9375,0.10416700000000001
8.33,CCBHS - R DU PRE BAYARD_TRONROUT0000000008438484_0_TRONROUT0000000008438484_57,0.0,0.18867899999999999,0.0188679,0.0188679,0.0188679,0.0,1.6981099999999998,0.0
9.090639999999999,CCBHS - R DU SABLON_TRONROUT0000000206160597_0_TRONROUT0000000206160597_172,0.0,0.0116279,0.0174419,0.156977,0.0,0.0116279,0.180233,0.0
6.427309999999999,CCBHS - R DU SABLON_TRONROUT0000002008660679_0_TRONROUT0000002008660679_228,0.0,0.00881057,0.11894300000000001,0.259912,0.0,0.140969,0.105727,0.0
9.39655,CCBHS - R DU VAL DE BRENNE_TRONROUT0000000008410708_0_TRONROUT0000000008410708_31,0.0,0.0,0.0,0.0,0.0384615,0.0,0.153846,0.0
9.85714,CCBHS - R EMILE PICARD_TRONROUT0000000245037821_0_TRONROUT0000000245037821_176,0.0,0.011363600000000001,0.011363600000000001,0.00568182,0.0,0.0,0.24431799999999998,0.0
6.6,CCBHS - R FERDINAND_TRONROUT0000000008409593_0_TRONROUT0000000008409593_162,0.0,0.030302999999999997,0.115152,0.0242424,0.0,0.21818200000000001,0.418182,0.0
3.84,CCBHS - R FERDINAND_TRONROUT0000000008409594_0_TRONROUT0000000008409594_200,0.0,0.0,0.09452739999999998,0.164179,0.0,0.522388,0.139303,0.014925399999999998
6.87805,CCBHS - R FERDINAND_TRONROUT0000000008409594_200_TRONROUT0000000008409594_323,0.0,0.00819672,0.00819672,0.23770500000000003,0.0,0.163934,0.0983607,0.0
10.0,CCBHS - R FERDINAND_TRONROUT0000000008409600_0_TRONROUT0000000008409600_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235,0.0
10.0,CCBHS - R FERDINAND_TRONROUT0000000008409601_0_TRONROUT0000000008409601_11,0.0,0.0,0.0,0.0909091,0.0,0.0,0.454545,0.0
6.907039999999999,CCBHS - R FERDINAND_TRONROUT0000000008410714_0_TRONROUT0000000008410714_200,0.0,0.014851499999999998,0.15346500000000002,0.20297,0.0,0.044554500000000004,0.316832,0.054455399999999994
5.06684,CCBHS - R FERDINAND_TRONROUT0000000008410714_200_TRONROUT0000000008410714_387,0.0,0.0,0.155914,0.18279600000000001,0.0107527,0.016128999999999998,0.49462399999999995,0.204301
4.45,CCBHS - R FERDINAND_TRONROUT0000000008410716_0_TRONROUT0000000008410716_51,0.0,0.0,0.09803919999999999,0.41176499999999994,0.0,0.137255,0.490196,0.43137299999999995
8.76923,CCBHS - R FERDINAND_TRONROUT0000000245061117_0_TRONROUT0000000245061117_14,0.0,0.0,0.153846,0.07692310000000001,0.0,0.230769,0.384615,0.0
10.0,CCBHS - R SABLON_TRONROUT0000000064759752_0_TRONROUT0000000064759752_96,0.0,0.0,0.010416700000000001,0.0,0.0,0.0,0.333333,0.0
6.911760000000001,CCBHS - R SABLON_TRONROUT0000000064759753_0_TRONROUT0000000064759753_136,0.0,0.0,0.0740741,0.155556,0.0,0.037037,0.0962963,0.0
9.35758,CCBHS - RTE DE LA CHASSAGNE_TRONROUT0000000008411673_0_TRONROUT0000000008411673_168,0.0,0.0,0.0,0.00609756,0.0,0.0,0.054877999999999996,0.0
7.95,CCBHS - RTE DE LA CHASSAGNE_TRONROUT0000000008411680_0_TRONROUT0000000008411680_40,0.0,0.0,0.0,0.05,0.0,0.0,0.025,0.0
9.75879,CCBHS - RTE DE LA CHASSAGNE_TRONROUT0000000243611751_0_TRONROUT0000000243611751_200,0.0,0.0,0.0,0.0,0.0,0.0,0.034653500000000004,0.0
8.83333,CCBHS - RTE DE LA CHASSAGNE_TRONROUT0000000243611751_200_TRONROUT0000000243611751_449,0.0,0.0,0.0322581,0.0,0.0,0.0,0.036290300000000004,0.0
9.74468,CCBHS - RTE DE LONS_TRONROUT0000000008429738_0_TRONROUT0000000008429738_95,0.0,0.0,0.11458299999999999,0.0,0.0,0.03125,0.052083300000000006,0.0
8.143410000000001,CCBHS - RTE DE LONS_TRONROUT0000000008429740_0_TRONROUT0000000008429740_258,0.0,0.0,0.232558,0.271318,0.0,0.0387597,0.0310078,0.00775194
5.77358,CCBHS - RTE DE LONS_TRONROUT0000000008431641_0_TRONROUT0000000008431641_53,0.0,0.0,0.18867899999999999,0.20754699999999998,0.0,0.11320799999999999,0.358491,0.11320799999999999
10.0,CCBHS - RTE DE LONS_TRONROUT0000000008431642_0_TRONROUT0000000008431642_248,0.00401606,0.00401606,0.0,0.0,0.0,0.0,0.05220880000000001,0.0
9.75,CCBHS - RTE DE LONS_TRONROUT0000000008431646_0_TRONROUT0000000008431646_193,0.0,0.0,0.08808289999999999,0.015544,0.0,0.031088099999999997,0.015544,0.0
9.82514,CCBHS - RTE DE LONS_TRONROUT0000000214996206_0_TRONROUT0000000214996206_184,0.0,0.0,0.0108696,0.043478300000000004,0.0,0.0,0.11413,0.00543478
9.86364,CCBHS - RTE DE MOUTHIER_TRONROUT0000000035316908_0_TRONROUT0000000035316908_23,0.0,0.166667,0.0,0.0,0.0,0.0,0.041666699999999994,0.041666699999999994
9.3625,CCBHS - RTE DE MOUTHIER_TRONROUT0000000064722570_0_TRONROUT0000000064722570_200,0.0,0.0,0.00497512,0.00995025,0.0,0.0,0.134328,0.00497512
9.29394,CCBHS - RTE DE MOUTHIER_TRONROUT0000000064722570_200_TRONROUT0000000064722570_365,0.0,0.0,0.0,0.0666667,0.0,0.0,0.16969700000000001,0.0
